Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71798466,0,"Friday, June  8, 2012 19:23:59 UTC",37.6368,-119.0293,1.3,4.60,10,"Long Valley area, California"
ci,15161993,0,"Friday, June  8, 2012 19:03:12 UTC",33.1727,-115.6110,1.7,0.10,21,"Southern California"
ak,10488928,2,"Friday, June  8, 2012 18:27:36 UTC",62.2171,-147.8790,4.3,39.40,97,"Central Alaska"
nc,71798416,0,"Friday, June  8, 2012 18:05:58 UTC",39.9650,-122.1768,1.8,33.30,11,"Northern California"
ak,10488909,1,"Friday, June  8, 2012 17:53:51 UTC",61.8917,-147.6837,2.7,48.60,33,"Southern Alaska"
ak,10488895,1,"Friday, June  8, 2012 17:00:24 UTC",61.1793,-150.8375,1.0,12.30, 7,"Southern Alaska"
ak,10488890,1,"Friday, June  8, 2012 16:51:53 UTC",62.5141,-151.5591,1.8,104.10,14,"Central Alaska"
ci,15161969,0,"Friday, June  8, 2012 16:40:35 UTC",33.8428,-117.4925,1.6,4.00,39,"Greater Los Angeles area, California"
ci,15161961,0,"Friday, June  8, 2012 16:27:54 UTC",33.6992,-117.3880,1.7,0.10,24,"Southern California"
us,b000aani,9,"Friday, June  8, 2012 16:15:14 UTC",29.7476,50.6939,4.9,33.40,88,"southern Iran"
ci,15161929,0,"Friday, June  8, 2012 16:14:48 UTC",34.0112,-116.9793,1.2,8.10,34,"Southern California"
ak,10488871,1,"Friday, June  8, 2012 16:02:44 UTC",62.8694,-143.4143,1.6,0.00, 7,"Central Alaska"
hv,60357191,1,"Friday, June  8, 2012 15:44:09 UTC",19.0132,-155.3343,1.9,49.20, 9,"Island of Hawaii, Hawaii"
hv,60357181,1,"Friday, June  8, 2012 15:17:30 UTC",19.4047,-155.3038,2.1,4.30,19,"Island of Hawaii, Hawaii"
nc,71798376,0,"Friday, June  8, 2012 15:15:14 UTC",39.4145,-120.1242,1.6,1.10,12,"Northern California"
hv,60357171,1,"Friday, June  8, 2012 15:00:32 UTC",19.4265,-155.2647,1.7,4.00,13,"Island of Hawaii, Hawaii"
hv,60357166,1,"Friday, June  8, 2012 14:59:38 UTC",19.3668,-155.2148,2.0,3.70,44,"Island of Hawaii, Hawaii"
ak,10488861,1,"Friday, June  8, 2012 14:55:22 UTC",59.9873,-153.0000,1.6,4.10, 8,"Southern Alaska"
nc,71798361,0,"Friday, June  8, 2012 14:20:39 UTC",38.8267,-122.7893,1.0,3.50,14,"Northern California"
ak,10488846,1,"Friday, June  8, 2012 14:04:08 UTC",62.2364,-147.8796,2.2,66.60,12,"Central Alaska"
ak,10488844,1,"Friday, June  8, 2012 13:37:37 UTC",61.3190,-151.1818,1.4,51.90, 9,"Southern Alaska"
ci,15161889,0,"Friday, June  8, 2012 13:14:40 UTC",34.3253,-116.4610,1.8,1.50,54,"Southern California"
ak,10488833,1,"Friday, June  8, 2012 13:08:35 UTC",63.5793,-146.9794,1.4,27.80, 7,"Central Alaska"
